contour_index,point_index,row,column
0,190,9.706835,-38.881134
0,191,8.533774,-39.560658
0,192,7.828422,-40.062469
0,193,6.600648,-40.687229
0,194,5.437962,-41.377304
0,195,4.629116,-41.755264
0,196,3.463449,-42.426899
0,197,2.634588,-42.803734
0,198,1.453838,-43.376202
0,199,0.517426,-43.590614
0,200,-0.511586,-43.631069
0,201,-1.490369,-43.472485
0,202,-2.717992,-42.938778
0,203,-3.499958,-42.499920
0,204,-4.669719,-41.820370
0,205,-5.458905,-41.423317
0,206,-6.620754,-40.737526
0,207,-7.431609,-40.366127
0,208,-8.590979,-39.670586
0,209,-9.818862,-39.081455
0,210,-10.543459,-38.585983
0,211,-11.746902,-37.936829
0,212,-12.496706,-37.494164
0,213,-13.654961,-36.772354
0,214,-14.436194,-36.383762
0,215,-15.592434,-35.674274
0,216,-16.825966,-35.101486
0,217,-17.547276,-34.587799
0,218,-18.736378,-33.925480
0,219,-19.493603,-33.488586
0,220,-20.653961,-32.778751
0,221,-21.435196,-32.381081
0,222,-22.586060,-31.654734
0,223,-23.799925,-31.057507
0,224,-24.537971,-30.574745
0,225,-25.731777,-29.934584
0,226,-26.498650,-29.497625
0,227,-27.661036,-28.796644
0,228,-28.454908,-28.411736
0,229,-29.612417,-27.695606
0,230,-30.829277,-27.082857
0,231,-31.542048,-26.577019
0,232,-32.732925,-25.919777
0,233,-33.490982,-25.483908
0,234,-34.650734,-24.763014
0,235,-35.962711,-24.148752
0,236,-36.539738,-23.554249
0,237,-37.604443,-22.589981
0,238,-38.277401,-21.425800
1,0,-21.211832,-3.460977
1,1,-21.337099,-2.483871
1,2,-21.408552,-1.495117
1,3,-21.433748,-0.500323
1,4,-21.413754,0.495772
1,5,-21.348742,1.485702
1,6,-21.230822,2.463925
1,7,-21.029373,3.422424
1,8,-20.758013,4.555097
1,9,-20.550867,5.513102
1,10,-20.308304,6.437468
1,11,-19.755156,7.612268
1,12,-19.414324,8.460273
1,13,-18.771404,9.642242
1,14,-18.216444,10.940481
1,15,-17.603849,11.566086
1,16,-16.784489,12.709622
1,17,-15.870714,13.845245
1,18,-14.859323,14.876851
1,19,-13.794888,15.854383
1,20,-12.663895,16.728550
1,21,-11.520933,17.534958
1,22,-10.366690,18.251558
1,23,-9.565719,18.633703
1,24,-8.388374,19.233004
1,25,-7.512944,19.535786
1,26,-6.582372,19.807178
1,27,-5.433939,20.185341
1,28,-4.481411,20.381647
1,29,-3.500511,20.504353
1,30,-2.506516,20.592617
1,31,-1.512051,20.657473
1,32,-0.505097,20.692659
1,33,0.511617,20.679100
1,34,1.508481,20.612679
1,35,2.500698,20.504995
1,36,3.471582,20.352228
1,37,4.405509,20.097805
1,38,5.565090,19.731884
1,39,6.496847,19.490133
1,40,7.363739,19.150265
1,41,8.554933,18.621000
1,42,9.367496,18.243595
1,43,10.529204,17.548885
1,44,11.192139,17.039978
1,45,12.362561,16.324602
1,46,13.434533,15.426067
1,47,14.479258,14.479094
1,48,15.465885,13.469647
1,49,16.379080,12.405951
1,50,17.170969,11.287501
1,51,17.624161,10.575273
1,52,18.336979,9.415579
1,53,18.686001,8.586587
1,54,19.271004,7.404585
1,55,19.571970,6.523451
1,56,19.839834,5.598789
1,57,20.231945,4.439423
1,58,20.436186,3.490694
1,59,20.567030,2.509140
1,60,20.666332,1.516801
1,61,20.741243,0.512371
1,62,20.790621,-0.489514
1,63,20.799984,-1.501554
1,64,20.757856,-2.515868
1,65,20.674751,-3.518441
1,66,20.562103,-4.509887
1,67,20.417528,-5.483756
1,68,20.214231,-6.432760
1,69,19.818468,-7.596772
1,70,19.522617,-8.508390
1,71,19.182196,-9.362471
1,72,18.591427,-10.541242
1,73,18.240196,-11.374527
1,74,17.563368,-12.537147
1,75,16.742689,-13.682805
1,76,15.850047,-14.802541
