contour_index,point_index,row,column
0,323,-42.499893,-8.489619
0,324,-43.499878,-8.476213
0,325,-44.492680,-8.417312
0,326,-45.437778,-8.245329
0,327,-46.590263,-7.594778
0,328,-47.321747,-6.444036
0,329,-47.529072,-5.505401
0,330,-47.656525,-4.523349
0,331,-47.756008,-3.527327
0,332,-47.841751,-2.523434
0,333,-47.927231,-1.519871
0,334,-48.005074,-0.476571
1,0,-26.006054,-3.446676
1,1,-26.135796,-2.466712
1,2,-26.204239,-1.487612
1,3,-26.230583,-0.500000
1,4,-26.219801,0.491152
1,5,-26.171589,1.480682
1,6,-26.069546,2.459793
1,7,-25.867752,3.563335
1,8,-25.682323,4.536075
1,9,-25.513578,5.502559
1,10,-25.336391,6.463643
1,11,-25.078735,7.383789
1,12,-24.642029,8.548383
1,13,-24.357019,9.445494
1,14,-23.822016,10.639669
1,15,-23.445415,11.473335
1,16,-22.789835,12.656619
1,17,-22.386213,13.433797
1,18,-21.606981,14.569740
1,19,-20.784868,15.718071
1,20,-19.917850,16.862785
1,21,-18.955378,17.940323
1,22,-17.873604,18.929810
1,23,-16.768948,19.828449
1,24,-15.663178,20.705019
1,25,-14.549420,21.570662
1,26,-13.414216,22.340172
1,27,-12.204013,22.923014
1,28,-11.449683,23.390381
1,29,-10.601878,23.736834
1,30,-9.425684,24.302172
1,31,-8.532459,24.593502
1,32,-7.371469,25.027847
1,33,-6.457032,25.315331
1,34,-5.499994,25.499971
1,35,-4.527719,25.662241
1,36,-3.541505,25.828583
1,37,-2.457734,26.011295
1,38,-1.476476,26.119696
1,39,-0.493353,26.167652
1,40,0.493462,26.169844
1,41,1.481354,26.128939
1,42,2.464043,26.044548
1,43,3.545077,25.889297
1,44,4.536948,25.720570
1,45,5.510645,25.550751
1,46,6.470291,25.369785
1,47,7.401299,25.122961
1,48,8.562169,24.694529
1,49,9.470397,24.419003
1,50,10.324981,24.068615
1,51,11.504538,23.510263
1,52,12.322996,23.135456
1,53,13.490239,22.482824
1,54,14.231624,22.039093
1,55,15.396188,21.340508
1,56,16.486977,20.483490
1,57,17.003519,19.901440
1,58,18.086514,19.062592
1,59,19.071400,18.084793
1,60,19.988691,17.056072
1,61,20.516397,16.512972
1,62,21.381147,15.414282
1,63,22.177319,14.290257
1,64,22.594065,13.552676
1,65,23.300018,12.398294
1,66,23.660202,11.576028
1,67,24.287334,10.409027
1,68,24.607262,9.541745
1,69,25.095989,8.372895
1,70,25.372728,7.463918
1,71,25.582079,6.520413
1,72,25.824364,5.569890
1,73,26.164331,4.438642
1,74,26.331413,3.473869
1,75,26.431349,2.493574
1,76,26.497009,1.499851
1,77,26.538055,0.501352
1,78,26.549295,-0.500000
1,79,26.522320,-1.501139
1,80,26.465601,-2.497046
1,81,26.383614,-3.488184
1,82,26.268997,-4.466136
1,83,26.079681,-5.419714
1,84,25.759014,-6.553784
1,85,25.538191,-7.509548
1,86,25.309887,-8.442051
1,87,24.837322,-9.616318
1,88,24.504263,-10.501618
1,89,24.173933,-11.361611
1,90,23.564388,-12.531096
1,91,23.195314,-13.338480
1,92,22.466494,-14.479182
1,93,21.652969,-15.605165
1,94,20.819668,-16.748631
1,95,19.922609,-17.868181
1,96,18.956402,-18.968004
1,97,17.865538,-19.909655
1,98,16.744198,-20.798004
1,99,15.604135,-21.647982
1,100,14.465670,-22.441671
1,101,13.707085,-22.874615
1,102,12.519590,-23.537706
1,103,11.740675,-24.003517
1,104,10.514022,-24.533949
1,105,9.650949,-24.897110
1,106,8.456633,-25.362789
1,107,7.531346,-25.606134
1,108,6.595561,-25.880119
1,109,5.444222,-26.218178
1,110,4.482045,-26.386099
1,111,3.500601,-26.504738
1,112,2.507661,-26.591030
1,113,1.503540,-26.642319
1,114,0.502388,-26.659176
1,115,-0.504320,-26.643286
1,116,-1.507103,-26.595654
1,117,-2.501872,-26.524216
1,118,-3.489271,-26.423420
1,119,-4.458024,-26.280176
1,120,-5.410268,-26.051338
1,121,-6.553060,-25.724926
1,122,-7.499845,-25.499435
1,123,-8.417766,-25.245073
1,124,-9.590500,-24.746817
1,125,-10.477992,-24.443624
1,126,-11.682403,-23.893606
1,127,-12.494578,-23.489397
1,128,-13.673677,-22.790077
1,129,-14.915180,-22.102682
1,130,-15.508248,-21.511089
1,131,-16.606730,-20.635429
1,132,-17.701731,-19.721254
1,133,-18.721790,-18.711784
1,134,-19.671137,-17.640450
1,135,-20.562483,-16.547876
1,136,-21.219467,-16.026854
1,137,-21.862331,-14.722609
1,138,-22.566572,-13.537422
1,139,-23.075644,-12.801527
1,140,-23.614834,-11.550817
1,141,-24.079603,-10.740873
1,142,-24.496731,-9.498827
1,143,-24.792524,-8.595280
1,144,-25.226509,-7.426770
1,145,-25.444530,-6.487738
1,146,-25.623589,-5.522116
1,147,-25.796867,-4.538722
1,148,-26.006054,-3.446676
