case,kind,truth_row,truth_column,truth_angle,truth_scale,found,row,column,angle,scale,position_error,angle_error,scale_error,total_ms
15,translation,44.82,51.030000000000001,-0,1,1,44.825385501884128,51.030496690301668,0.00036353021064637397,1.0007900473068003,0.00540835758800314,0.00036353021064637397,0.00079004730680032331,11.052185
16,translation,44.82,51.230000000000004,-0,1,1,44.830541308522989,51.21901470520919,0.00038975272505426201,1.0007864498564112,0.015224844400449824,0.00038975272505426201,0.00078644985641118659,11.171455
17,translation,44.82,51.43,-0,1,1,44.828697802078658,51.413538381673028,0.00065969496555725834,1.0006898376134765,0.018618180333812982,0.00065969496555725834,0.00068983761347651829,11.214229
18,translation,44.82,51.630000000000003,-0,1,1,44.82767143727002,51.640705002007451,0.0016001536777277285,1.0001204453521202,0.013169966505929838,0.0016001536777277285,0.00012044535212019092,11.262271
19,translation,44.82,51.829999999999998,-0,1,1,44.827475870820649,51.838295845696656,0.0012673800652871524,1.0007700967947444,0.011167349746013473,0.0012673800652871524,0.00077009679474437931,11.144973
20,pose,44.210454627304017,51.004902747128781,0.185,0.90000000000000002,1,44.212013137317271,51.003337699832009,0.18549756423616934,0.90025078815812698,0.0022086933926071966,0.00049756423616933998,0.00025078815812695776,10.693743
21,pose,44.182860465497853,51.207196996158729,0.14799999999999999,0.92000000000000004,1,44.185631881640532,51.201782278099294,0.149548781024121,0.92012764089480237,0.0060827558802784547,0.0015487810241210098,0.00012764089480232776,10.908056
22,pose,44.154955398216565,51.410829528449057,0.11099999999999999,0.94000000000000006,1,44.154993421982269,51.40427829239664,0.111797871238143,0.93997952890433589,0.0065513463975920734,0.00079787123814301086,-2.0471095664165162e-05,11.761962
23,pose,44.126801231332813,51.61582604942307,0.073999999999999996,0.95999999999999996,1,44.128028075827586,51.61823886675829,0.07446306354337838,0.95998786731246144,0.0027068126842270546,0.00046306354337838362,-1.2132687538524145e-05,10.959915000000001
24,pose,44.098461230359106,51.822209503116149,0.036999999999999998,0.97999999999999998,1,44.092195281201192,51.825240539926291,0.037365848137120794,0.98080241640938359,0.0069605533540087212,0.00036584813712079584,0.00080241640938361058,11.200426999999999
25,pose,44.32,51.030000000000001,-0,1,1,44.308391585392513,51.027043002410586,-0.00032549179352119679,1.0002894900962906,0.011979112005617073,-0.00032549179352119679,0.00028949009629064548,13.816516
26,pose,44.291483360386195,51.239214749965605,-0.036999999999999998,1.02,1,44.291449560145246,51.241691352982151,-0.036004778244016072,1.0207475487546731,0.0024768336556692779,0.00099522175598392576,0.00074754875467308857,11.644666000000001
27,pose,44.262978220208325,51.449868000610543,-0.073999999999999996,1.04,1,44.265654146310297,51.445768601983815,-0.073858106007506141,1.0408279627882482,0.0048954723576010075,0.00014189399249385504,0.00082796278824814884,11.273427
28,pose,44.234552446974469,51.661970980967617,-0.11099999999999999,1.0600000000000001,1,44.234085580122255,51.66206989218783,-0.11174483734144576,1.061093727978444,0.00047722959587666915,-0.00074483734144577263,0.0010937279784439813,11.082668999999999
29,pose,44.206274734621111,51.875531850801828,-0.14799999999999999,1.0800000000000001,1,44.201934067833037,51.870695920866687,-0.14794062142530892,1.0805322172500702,0.0064982771949709962,5.9378574691071329e-05,0.00053221725007013276,11.147517000000001
